ID,text,target,stance,sarcasm,sentiment
13,"واختتم د. أحمد بن حماد الكلباني عميد أكاديمية الامن الالكتروني المتقدم ورقة عمل ""الابتكار في تعزيز الجاهزية للأمن الالكتروني"" تناولت الورقة طرق تسريع وتيرة التحول الرقمي الاقتصاد مع اعتماد تكنولوجيا المعلومات والاتصالات الرائدة التقنيات ",Digital Transformation,Favor,No,Neutral
15,تم تطعيم الجرعة الاولى من لقاح pfizer اليوم . شكراً على جهودكم بالتوعية و الله يكثر من امثالكم و يعطيكم العافية .    ,Covid Vaccine,Favor,No,Positive
18,كل ما افتكر إني مضطرة اخد تطعيم كورونا تاني قلبي يتقبض,Covid Vaccine,Against,No,Negative
19,كفل النظام الاساسي حق التقاضي لكافة من يعيش على هذه الارض الطيبة. وعلى نهج التحول الالكتروني في السلطنة تم إطلاق منصة الكترونية خاصة بالمحاكم بغرض تسهيل اجراءات التقاضي. ولكن ننصدم بالصعوبات اليومية المتكررة في المنصة  فأصبح هذا النظام الالكتروني عائقا يحول دون هذا الحق الدستوري.,Digital Transformation,Against,No,Negative
20,#السديس يؤكد تفعيل التحول الإلكتروني في جميع تعاملات الرئاسة ,Digital Transformation,,No,Neutral
21,باعتقادك هل تؤثر الإمبريالية في عملية إحلال الإجراءات التراتيبية التسلسلية التي تقوّض عملية تقديم الخدمة للعملاء من قبل مأموري سعادة المتعاملين؟ و هل التحول الالكتروني أسهم في تسهيل و تقصير رحلة المتعامل؟ ومن منظورك الشخصي..هل لمؤشرات الأداء دور رقابي على الخدمة نفسها أم مقدميها؟,Digital Transformation,,No,Neutral
22, وين تمكين المرأة؟,Women empowerment,,No,Negative
23, يامستشارين الصحه : اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيق,Covid Vaccine,Against,No,Negative
24,  اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيقيه تنورون,Covid Vaccine,Against,No,Negative
25,  اللي جته كورونا المفروض يصير عنده مناعه مثل اي مرض فيروسي يصيب الانسان ومع ذلك تقولون ياخذ تطعيم كورونا ! بعد التطعيم هل تجيه كورونا ؟ تقولون ممكن !؟ التطعيم للابد ؟ تقولون لا سنه بالكثير وينتهي المفعول ؟ هل من اجابه علميه حقيقيه,Covid Vaccine,Against,No,Negative
26,    كلامك غير صحيح   وهناك أجانب يستلمون ٥٠ و ١٠٠ ألف في الشهر ! وهذا تخصصه مطلوب ومهم في القطاع العام والخاص خصوصاً مع التحول للتعامل الالكتروني  أنا أتعجب اذا هذا ما لقى وظيفة أجل وشلون حال أصحاب أهل الاخصصات النظر,Digital Transformation,,No,Neutral
28,#افضل_الممارسات_في_التعلم_الالكتروني استراتيجيات التدريس في #التعليم_الالكتروني  الطريقة التي يمكن ان نقدم البرامج التعليمية للطلاب في أي وقت و أي مكان باستخدام تقنية المعلومات والاتصالات التفاعلية  #تقنيات_التعليم #التعلم_عن_بعد #حول_عالتقنية  #التحول_الرقمي ,Digital Transformation,Favor,No,Neutral
29,  و كذلك التحول الالكتروني و الاستعداد له   قلة المصروفات التي تقع على كاهل كل منا حيث التسوق اليومي   اكتشاف المواهب و الهوايات و غير ذلك,Digital Transformation,Favor,No,Positive
30,هناك من عاصر زمن تحرير السود من العبودية  وهناك من عاصر زمن تمكين المرأة واعطائها كامل حقوقها  وشاء الله أن يكون زماننا زمن اعطاء الشواذ حقوقهم وهو الأسوأ حتى الآن  أتمنى ألا تطول صولتهم,Women empowerment,,No,Negative
31, التحول الالكتروني للمعاملات الحكومية يحتاج الى تجهيز كامل للعناصر اللوجستية .. هيئة بريد فعّالة  قرارات جريئة للتخلص من الاكشاك والطباعين  تفعيل العناوين المطابقة للسكن الفعلي على البطاقات المدنية  الخ. ولنا في مملكة البحرين خير مثل للتحول ا,Digital Transformation,Favor,No,Neutral
33, نررررفض تطعيم بناتنا ياوزارة الصحه.. كفايه اجبرتونا على لقاح كورونا وصدقناكم,Covid Vaccine,Against,No,Negative
35,وأخيرًا خذت الجرعة التنشيطية .. الحمدلله أيدي مطويةلون بشرة متوسط ​​إلى فاتح,Covid Vaccine,Favor,No,Positive
37, تطلبون التحول الالكتروني  هذا هو,Digital Transformation,,No,Neutral
38,بتبرع كريم من شركة القدس للتأمين وكجزء من مسؤوليتهم المجتمعية تجاه السيدات ولدعم تمكين المرأة دربنا عدد من السيدات على أساسيات الخياطة في مشروع أرزاق. #JHCO #تمكين #تدريب ,Women empowerment,Favor,No,Positive
39, التحول الالكتروني وفر وقت وجهد وكل شيء قلب أحمر️,Digital Transformation,Favor,No,Positive
40,لايخدعونك   بكذبة تمكين المرأة!.,Women empowerment,Against,No,Negative
41,  اشباه الرجال حالهم ما يسر منضغطين من بعد تمكين المرأة,Women empowerment,Favor,Yes,Negative
42,  عرف من وين يمسكهم يشوف الجدل وين ويشتغل عليه شاف جدلهم على تمكين المرأه وحجابها وشد حيله باقي شوي ويلبس عباية راس وقفاز عشان ينال اعجابهم ورضاهم,Women empowerment,Against,No,Negative
43, 62 مليون كتاب !! اين التحول الالكتروني للمناهج ؟ كمية هدر سنوي للكتب مؤسفة نتمنى احلال الاجهزة اللوحية بدلاً من الكتب,Digital Transformation,Favor,No,Negative
44,  مو كل اللي ماطعموا جتهم كورونا انا من فضل الله لا كورونا ولا تطعيم الحمدلله ياربمصافحة,Covid Vaccine,,No,Neutral
45,  شبكات دْعارة في البلد بشكل مهول كانو ينتظرون قرار تمكين المرأة بفارغ الصبر,Women empowerment,Against,No,Negative
46,أعلنت وزارة التجارة والصناعة وترويج الاستثمار عن إلزام 8 أنشطة تجارية بتوفير خدمة الدفع الإلكتروني للمستهلكين  سعيًا لتحقيق التحول الرقمي في السلطنة تماشيًا مع رؤية عمان 2040. ,Digital Transformation,Favor,No,Neutral
47,🇴🇲 تبدأ سلطنة #عُمان مطلع العام المقبل بإذن الله تطبيق قرار إلزامية الدفع الإلكتروني لجميع الأنشطة التجارية في خطوة مهمة نحو التحول الرقمي الشامل..  ,Digital Transformation,Favor,No,Neutral
48,والله بنات انا مع تمكين المرأة واحاول ادعمكم بس انتو كمان ساعدونا ندعمكم  ليه لما اكون مع موظفة  الموضوع ياخذ مني اسبوعين ولما اكون مع موظف ياخذ مني نص ساعة؟؟؟,Women empowerment,Favor,No,Negative
49,"  لو اخوانك انفصلو من اعمالهم وحطو بدالهم حريم تحت بند ""تمكين المراه"" راح تفهمي تغريده الاخ تركي ..  كثير شباب اعرفهم طلقو زوجاتهم والسبب الفصل الجائر .. وعدم وجود وظائف يمكن ماتشوفين ذا الشي بعينك ولا يهمك  لكن بكره بتشوفي نتائجه ",Women empowerment,Against,No,Negative
50,ما هذا  الإصرار على إعطاء تطعيمات غير آمنه ليس هناك ضمان من خلالها ،!! توجه غريب من قبل بعض الجهات الحكومية والخاصة لفرض التطعيم !! كثير من الناس مطبقين الشروط الصحية ولا يحتاجون هالفرض! هناك دستور وقانون كفل لنا الإختيار !  #تطعيم_كورونا #الكويت #وزارة_الصحة,Covid Vaccine,Against,No,Negative
51,المسلسل التركي اللي بديت اشوفه بعد انقطاع طويل عن المسلسلات التركيه بس وربي اني انتظر الثلاثاء بفارغ الصبر عشانه .. احب تمكين المرأه اللي بالمسلسل واحب القصه وكل شي وجه يبكي بصوت عالوجه يبكي بصوت عالوجه يبكي بصوت عالوجه يبكي بصوت عال واحب باتوغا هففف جايب راسي ,Women empowerment,Favor,No,Positive
52,"أبلغت الدنمارك عن أكثر من 5 آلاف إصابة جديدة بفايروس كورونا رغم تطعيم 87% من السكان ""بشكل كامل""",Covid Vaccine,Against,No,Neutral
53,في ظل انتشار #كورونا حاليا الفرصة ذهبية للعمل بجدية على إلغاء المعاملات الورقية والمعاملات التي تتطلب وجود الأشخاص المطلوبين في أماكن معينة لاجراءها وذلك عن طريق التحول الالكتروني والتحول لبيئة يمكن فيها العمل عن بعد لأكبر عدد من الموظفين,Digital Transformation,Favor,No,Positive
54,يا قلبي على تمكين المرأة.. بكى والله قلب مجروحقلب مجروحقلب مجروح ,Women empowerment,Favor,No,Positive
55,لا حول ولا قوة الا بالله  كلنا ندري من اللي سمح لكل مجرم انه يتجرأ و يرتكب جريمة يقشعر لها البدن ! قال لك تمكين المراة قال !!! ,Women empowerment,Against,No,Negative
56,ليش تمكين المرأة ما جاء الا مع الغلاء وجه بفم مفتوح‍محطما بعيدا,Women empowerment,Against,No,Negative
57,كما بدأت جامعة طرابلس شراكة مع منصة Coursera  وأطلقت كلية تقنية المعلومات منصة إلكترونية لطلبتها.   لكن تظل مشاكل الكهرباء والإنترنت من أبرز التحديات التي تواجه التحول لهذا الاتجاه!  - شاركنا برأيك حول مستقبل التعليم الإلكتروني في ليبيا.,Digital Transformation,,No,Neutral
58,""" المرأة هي مصدر التطور لأي مجتمع، فمن غير تمكين المرأة من الصعب اصلاح المجتمع."" #يوم_المراه_العالمي قلب أبيض",Women empowerment,Favor,No,Positive
59, تمكين المرأة بدلة القلب️ تصرف علي وانا نايم بالبيت,Women empowerment,Against,Yes,Neutral
60,تمكين المراة ما جاب لنا خير والله  لكم ان تتخيلوا ان لي ساعة ادور إحرام بالطايف بعد ما كان يباع في كل مكان,Women empowerment,Against,No,Negative
61, يقولك تنشيطية ثالثة كافية  وبعد سنة بتطلع أخبار عن الرابعة وتشوفهم يقولون أثبتت الدراسات أن الجرعة التنشيطية الرابعة تحمي أصحاب الأمراض المزمنة وذوي المناعة الضعيفة وجه يغمز بلسان ,Covid Vaccine,Against,Yes,Negative
63,"""استثمر بسهولة"" زاد من توجه المستثمرين للخدمات الالكترونية  بما يسهل حركة السلع الصادرة والواردة من والى السلطنة..   التحول الالكتروني في أي مجال يسهم بلا شك في تطويره وسهولته .. لا بديل عن الحكومة الذكية والتركيز عليها بشكل كبير جداً لمعانقة الطموحات  #عمان_تحتاج_افكاركم ",Digital Transformation,Favor,No,Neutral
66,حاطة هاشتاق #تمكين_المرأة وهي تهين المرأة بنفس التغريدة,Women empowerment,Against,No,Negative
67, دكتور محمد لماذا لا يتم  تفعيل وسائل الدفع الالكتروني او التحول إلى اقتصاد غير نقدي حاليا يوجد اقتصاديين ظاهر وباطن فإذا لم يسمح بالتعامل بالنقد سوف يصبح الجميع يعملون في نطاق نظام واحد وباذن اذا تم تطبيق التعامل عن طريق الدفع الالكتروني  لجميع ,Digital Transformation,Favor,No,Neutral
68,    الله يهدي الجميع اتوقع يقصد جرعة تطعيم كورونا,Covid Vaccine,,No,Neutral
69,ولله الحمد  أخذنا لقاح فايزر تطعيم حقنة الله ينفع به البلاد والعباد يارب راحة اليد معالون البشرة الفاتحأيدي مطوية شكراً للحكومة 🇸🇦قلب اخضر شكراً وزارة الصحة,Covid Vaccine,Favor,No,Positive
70, لن الهدف هو تطعيم اما كورونا ومتحورات وسيله ومبرر لتلقيحك بالغصب,Covid Vaccine,Against,No,Negative
71,     اخوان /يجب التحول الى الدفع الالكتروني في الوزرات الحكومية.   اي عمليه دفع  حتى لو ١٠ دنانير  تروح مباشرة لخزينة الدوله.   هاي الخطوة فقط راح تقطع ٩٠٪ من الفساد و السرقة.   تصادمحتى لا يصير ارباك و خربطة  ابدأ في وزار,Digital Transformation,Favor,No,Positive
72,جاني القرف من شعارات تمكين المرأة و رزرزة سيدات الطبقة المخملية مثل ديكور يتجدد..اسطوانة منذ 2016,Women empowerment,Against,No,Negative
73,تمكين المرأة يجب أن لايكون على حساب الرجل,Women empowerment,Against,No,Negative
74,  تبون خلاصة الكلام مع الحريم   ( اجعلوا  تطعيم كورونا شرط لدخول المولات ) وسوف تشوفونهم يتسابقون على التطعيم,Covid Vaccine,Favor,Yes,Neutral
75, التحول الرقمي إذا تم كما يريدون فلن يكون هناك إستقلال للفرد ستعود العبودية بغلاف رقمي,Digital Transformation,Against,No,Negative
76,#تمكين_المرأة من وجهة نظر الديناصورات تي ريكس ,Women empowerment,,Yes,Neutral
77, يقولون ابرتها حاارة وتعور اكثر من تطعيم كورونا بعد,Covid Vaccine,Against,No,Negative
78, اعانكم الله وسددكم   وعلى دروب الخير وفقكم الله في مهمتكم الجليله والساميه في ظل التحول الإلكتروني الذي احدث نقلةً نوعيةً متطوره تواكب تطلعات قيادتنا الرشيدة لما فيه خير المواطن والمقيم .,Digital Transformation,Favor,No,Positive
80,كذبه لن يصدقها نفسه جيتس خبر عن إصابة  بيل جيتس بفيروس كورونا علامة تعجب حمراءعلامة تعجب حمراءعلامة تعجب حمراءعلامة تعجب حمراءعلامة استفهام تعجب️تحذير️ واضح أنها كذبه وزيل لموجه جديده في الطريق = جرعات تطعيم جديده سهله المعادله اهوووجه مبتهج بعيون مبتسمة ,Covid Vaccine,Against,No,Negative
81,  السلام عليكم متى عمل مركز تطعيم كورونا في الظهران ؟,Covid Vaccine,,No,Neutral
82, اعتقد لو تتكاتف البلدية مع الجهات المختصة الاخرى بتشجيع التسوق الالكتروني وتخفيض اسعارها هناك كان بيكون احد اهم ركائز التحول الايجابي لصالح الجميع ومنهاسوف نخفف التزاحم بالمراكز و نفرض الامن والسلامة من الجائحة و توفر اعمال جديدة للجميع و تخف,Digital Transformation,Favor,No,Neutral
83,  تمكين المرأه صارت فساد ؟؟ يبون يعزونك و يرفعونك عن الحاجة و انتي تقولين فساد ! عجيب تفكير البعض,Women empowerment,Favor,No,Negative
84,(عصر تمكين المرأة) هو عصر النشوز والطلاق هو عصر الاهالي السذج الذين ركبوا الموجة  يخببون بناتهم على ازواجهم ويفسدون حياتهم. سنوات قليلة وتصبح المرأة السعودية كالغربية  بلا اسرة ولا زوج ولا حقوق وتربي الابناء وحدها (الام العزباء)  وسيبكون ندم على النعيم الذي كانوا فيه.  حلولكم مؤشر اليد الخلفية يشير لأسفل ,Women empowerment,Against,No,Negative
86,تمكين المرأة في مختلف المجالات ساهم في تحسين بيئة العمل وتنظيم الفعاليات وجودة التعامل مع العملاء والمراجعين .,Women empowerment,Favor,No,Positive
87,الدولة ماضيه في تحقيق رؤيتها التي من أهم أهدافها تمكين المرأة  وفي الوقت ذاته تحتاج للتدرج ومراعاة الظروف العامة ..,Women empowerment,Favor,No,Neutral
88,#عاجل التعليم العالي |  لا عودة عن التعليم الوجاهي للجامعات  ولا صحة لما يتم تداوله عن التحول للتعليم الإلكتروني. #أحمد_يحيى,Digital Transformation,,No,Neutral
89, هذا الكلام كان زمان.. أما الآن تغير كل شيء .. مع التحول الإلكتروني والحكومة الإلكترونية.. أصبح ملاحظ في جميع الجهات الحكومية السعي لخدمة المراجع واصبحت تسمى المراجع عميل.. وهذا تحول كبير وجيد للمصلحة العامة.  وقد خصص أقسام خدمة عملاء ..  وهذا بفض,Digital Transformation,Favor,No,Positive
90,مصر كدولة و كحكومة وشعب ماشيين للتحول الرقمي بشكل رهيب التصفيق🇪🇬  على خطى السعودية في التحول الرقمي و اتمتت جميع خدمات الدولة و المعاملات الحكومية عبر تطبيقات و منصات إلكترونية مثل ابشر و توكلنا و ناجز و صحة ...الخ  يتبعمؤشر اليد الخلفية يشير لأسفل ,Digital Transformation,Favor,No,Positive
92,رسميًا صرت ملكة حجوزات تطعيم كورونا اتوقع باقي القطوه الي بالشارع م حجزت لها ههه,Covid Vaccine,Favor,Yes,Neutral
93,"الله يرحمه #دعيج_الخليفه_الصباح  موت""الفجأة""بزدياد وهناك من يقول أن له علاقة بتطعيمات #كوروناعلامة تعجب مزدوجة️  وعليه يا المسؤولين توقعوا هذا الاحتمال ولا تجبروا الناس على الجرعة الثالثة""المعزز""علامة تعجب مزدوجة️  ولا تجبروا الناس على أي تطعيم آخر وتربطوها بالسفر والمول والسينما.. حتى تتم التجارب السريريةعلامة تعجب مزدوجة️",Covid Vaccine,Against,No,Neutral
94,"أول دولة خليجية تلغي كافة إجراءات كورونا.. لا كمامة لا تطعيم لا ""بي سي آر""  #جريدة_الرؤية #سلطنة_عمان",Covid Vaccine,,No,Neutral
95, والله انا لانجهل ذلك لكن اليوم اصبح حكم القوى على الضعيف هوه المسيطر.عندما تذهب وتريد دفع كاش ويقال لك لااقبل الا الكتروني .وعندما الدوله تلزم المتاجر وغيرها بوجود الدفع الالكتروني فأن التحول سيكون اجباريا .,Digital Transformation,Against,No,Negative
96,#التحول_الإلكتروني_للخدمات_القضائية  نقطة تحول غي منظومة العمل القانوني ؛ ستوفر الكثير من الوقت على المتقاضين والمحامين عامة ؛ وتسرع من وتيرة العمل القضائي في جميع المحاكم العمانية ومحكمة القضاء الإداري .. ,Digital Transformation,Favor,No,Positive
97, يشهد التحول الالكتروني في المرفق القضائي نقلة نوعية وتطورًا ملموسًا  سواء بالإجراءات وتبسيطها أو إصدار الأنظمة والقرارات واللوائح وتطويرها  أو بتفعيل التقنية وتوظيفها واستثمارها  توفيراً للجهود  وتسهيلاً على المتقاضين  وسرعةً للفصل في المنازعات ,Digital Transformation,Favor,No,Positive
98,صرّح رئيس الإدارة العامة للتخطيط فضيلة القاضي د/يوسف الفليتي بإطلاق حزمة جديدة من برنامج #بوابة_المحامين و #بوابة_المتقاضين وإقرار دليلها الإجرائي  وذلك ضمن جهود مجلس الشؤون الادارية للقضاء لاستكمال منظومة التحول الرقمي ودعم سرعة الإنجاز وتفعيل وتكامل مسار التقاضي الإلكتروني. ,Digital Transformation,Favor,No,Neutral
99, صرّح رئيس الإدارة العامة للتخطيط فضيلة القاضي د/يوسف الفليتي بإطلاق حزمة جديدة من برنامج #بوابة_المحامين و #بوابة_المتقاضين وإقرار دليلها الإجرائي  وذلك ضمن جهود مجلس الشؤون الادارية للقضاء لاستكمال منظومة التحول الرقمي ودعم سرعة الإنجاز وتفعيل ,Digital Transformation,Favor,No,Neutral
101,تطعيم حقنة كوفيد ١٩.. تنظيم رائع شكرا لقيادتنا العظيمه.  شكرا وزارة الصحه  #تطعيم_كورونا ,Covid Vaccine,Favor,No,Positive
103,يحظر أي إعلان عن وظائف (للرجال فقط)  لكن لا بأس أن يكون هنالك وظائف  (للنساء فقط) !  وهذا كله يتم خلال وجوب النفقة على الرجل وتغريمه 50 ألف بحال تقصيره بالنفقة على المرأة !  مقلب (المساواة) و(تمكين المرأة) أكلوه رجال الغرب قبلنا والآن يوجهون لنا كتب ومؤلفات لكن لا حياة لمن تنادي!  ,Women empowerment,Against,Yes,Negative
104,"""تمكين المرأة السعودية"" علامة تقاطع  ""سرقة الوظائف من الرجال السعوديين .....  وإعطائها للنساء السعوديات بنفس الوقت اللي الرجال السعوديين مكلفين بالنفقة والإعالة للنساء السعوديات"" زر علامة الاختيار ",Women empowerment,Against,No,Negative
105,الحريم مثل الطفل المتهوّر اللي يدخل اصبعه بفيش كهرباء ويطلع للطريق قدام السيارات  بس ما تقدر تمنعه من تهوره ومن إلحاق الضرر لنفسه وللإخرين لأن الحكومات بتمنعك من منعه وذلك بإسم (تمكين المرأة),Women empowerment,Against,Yes,Negative
106, منصة ثروه بدعم من وزارة   وهي احدى استثمارات    وبادارة عمانية تحمل مستقبلا واعدا بالسلطنة  التحول الالكتروني بجميع القطاعات يسهل الكثير من العمل والجهد والوقت.  ولا ننسى ان هذه المنصه كذلك ساهمت بتوفير بعض الوظائف لل,Digital Transformation,Favor,No,Positive
107,"#لا_للتطعيم_الاجباري38  ترامب: ""توقفوا عن تطعيم الشباب"". كورونا COVID19 TRUMP ",Covid Vaccine,Against,No,Negative
108,#متضرري_اللقاح   طيار الخطوط الجوية التجارية يصور تورم الدماغ ولا يمكنه الطيران بعد لقاح فايزرعلامة تعجب مزدوجة️  #لا_للتطعيم_الاجباري  #لا_تقول_ما_دريت  #الجرعة_الثالثة  #الجرعة_التنشيطية  #الحرية_الطبية ,Covid Vaccine,Against,No,Negative
109, مايبيله تفكير ... اسبابه تطعيم كورونا بلا شك جعلت الناس لديها نفس اجرامي وبلا شعور .. والقادم اسوى,Covid Vaccine,Against,No,Negative
111,   وربي انك معلق على٢٠٠٠  تمكين المرأة هذا اعظم شيء حدث ونشوف يابو كفاءة اغلب الوظائف اللي للجنسين تكون فيها خبرتكم اقل لعل وعسى تنقبلون بينما التنافس للنساء اعلى فالله يعينك ع قلك وربي يرزقك وظيفة تسكتك لان والله الحسد مو زين,Women empowerment,Favor,No,Positive
112, طريقة بدائية … اعتقد لا تتوافق مع النظام و مع التحول الالكتروني الحاصل. هذا هو الحل الامثل. مؤشر اليد الخلفية يشير لأسفل ,Digital Transformation,Favor,No,Negative
113, نعم الجائحة سرعت نحو التحول الإلكتروني وغيرت في سلوك المستهلكين لا شك. من الممكن الإعتماد على التجارة الإلكترونية لكن من غير الممكن استبعاد متاجر (الطوب) من المنظومة التجارية  لأسباب حيوية للغاية مثل النشاط العمراني والبطالة. الطوب والإلكتروني,Digital Transformation,Favor,No,Neutral
114, الحمد لله هذا بالفعل هو عصر السرعة ويجب على جميع الجهات الاسراع في التحول الإلكتروني وتحقيق أهداف رؤية عمان 2040 وكلنا شركاء لتحقيق هذه الأهداف.,Digital Transformation,Favor,No,Positive
115,  ذكرتني بواحد يسولف يثني على القرارت الخاصة بالنساء من التوسع في توظيفهن والسماح لهن بقيادة السيارك وغيرها وفي نفس السالفة يشتكي ويتذمر من نسبة الطلاق المرتفعة وعزوف العزاب عن الزواج وان هذا سيشكل مشكلة حقيقية  والمصيبة انه مايستوعب ان ماي,Women empowerment,Against,No,Negative
117, مع مرور الوقت تبين أن تطعيم كورونا فاشل فاشل جدا. اصنعوا تطعيما جديدا. أو علاجا فعالا. وكفاكم تسويقا وترويجاً لهذا التطعيم أبو جرعة رابعة وخامسة!!,Covid Vaccine,Against,No,Negative
118, لن يقضي التطعيم على كورونا  لأنه تطعيم فاشل وضعيف,Covid Vaccine,Against,No,Negative
119, اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم   يجب ان نتعايش معه,Covid Vaccine,Against,No,Negative
121, قسم بالله تطعيم الافلونزا بالمستوصف ابرك من لقاح كورونا.كله كذب استنزاف اموال الدول وحلبها.,Covid Vaccine,Against,No,Negative
124,   مااغيى من اللي يقول لقاح كورونا بدون تطعيم ويسجلها في توكلنا غير اللي يصدقه .. هذول نصابين ويسحبو جميع معلومات الشخص وامواله,Covid Vaccine,Against,No,Negative
125, محد طلب رأيك والدولة مستمرة في حركة تعديل وتنقيح المناهج كما أن تمكين المرأة هي أحد أهم محاور رؤية 2030 وتوظفنا وشوتنا أشباه الرجال وصيحناهم يالله رح ابك والحس دموعك في الزاوية مع باقي المنبوذين.,Women empowerment,Favor,Yes,Positive
126,    تطعيم كورونا بدون حضور !!! وتنزل في توكلنا كمان ..,Covid Vaccine,Against,No,Neutral
128,التحول الإلكتروني العظيم السائد في مجالات الدولة كافة ودبي خاصة   فمن يصل به التفكير أنه يأتي عليه وقت يعمل في منزله كما هو بمكتبه ولا حاجة لوجوده في المكتب ونسبة الإنجاز تكون مضاعفة إنه استشراف المستقبل إنه محمد بن راشد آل مكتوم العقلية الفذة .,Digital Transformation,Favor,No,Positive
129,#تطعيم بعد التراويح و”صفر إصابات” آخر مستجدات كورونا بمصر ,Covid Vaccine,,No,Neutral
130,    كل اللقاحات الي اخذناها واحنا صغار فشهادة التطعيم حق اوبئه سابقه معناها برضوا مؤامره؟!! تكفون بس عاد مو كل شي مؤامره ترا لقاح كورونا بعد كم سنه بيصير المواليد يأخذونها للحمايه بعد الله مثل حق شلل الاطفال والحصبه وكذا تطعيم,Covid Vaccine,Favor,No,Neutral
131, و دام الطب قائم على الفائدة تفوق الخطر ليش ما توقفون تطعيم الأطفال و قد ثبت أن كورونا لا تؤذيهم بينما التطعيم احتمال أضعاف إن يؤذي صحتهموجه بحاجب مرتفع,Covid Vaccine,Against,No,Negative
132,  نفس فكره تطعيم الانفلونزا تاخذيه علشان تجيك الاعراض خفيفه وم تطيحك وتقوى مناعتك .. كدا لقاح كورونا يقوي مناعتك,Covid Vaccine,Favor,No,Positive
133,"ربط وزراة الصحة مع شركة ( التعاونية) عن طريق منصة ( نفيس ) وبجميع شركات التامين  تعزيزًا لإدارة عمليات التأمين الصحي.. في إطار التحول الرقمي ""التعاونية"" تستكمل الربط الإلكتروني",Digital Transformation,Favor,No,Neutral
134,      كما ذكرت  هذا التحول التقني (لا) بد أن يواكبه تحول على مستوى العقول,Digital Transformation,,No,Neutral
135,التحول الالكتروني أصبح مطلب أساسي ,Digital Transformation,Favor,No,Positive
