text,stance
نصيحة على الماشي للمرة المليون تطعيم كورونا ضرورة طبية و انسانية واجتماعية واقتصادية دمتم مفكرين,Favor
الحمدلله على نعمة تطعيم #كورونا فعلا نعمة تستحق الشكر #كندا اصبحت من الدول ذات النسبة العالية في تطعيم #الجرعة_الاولى شبه فاتحه بالكامل واوقفت قوانين الكمام والتباعد الجسدي. وقريبا تفتح السفر للسياح في شهر سبتمبر! والشعب الكندي ما ندم على التطعيم! واعتذر لكم مقدما عن آخر المقطع! ,Favor
قررت اني ما اناقش اليوم بموضوع اللقاح و كورونا لانه الكذابين صاروا قليلين ادب وانا مالي خلق عوار راس وجه بدموع الفرح  الاجوبة كالآتي: ليش منت مطعم؟ مو شغلك ليش تبي تطعم؟ مو شغلك ليش طالعين ساحة الارادة؟ مو شغلك مع ولا ضد قرارات الحكومة؟ مو شغلك,nan
 تطعيم كورونا غير  ماله علاقة بالتطعيمات اللي نعرفها من ناحية التقنية والسرعة اللي ظهر فيها. اما عن نفسي فكنت اثق بالسيستم ثقة عمياء واطعّم عيالي  بس الحين اي شي اسمه تطعيم بشك وبسأل وبدوّر. عيب علي اذا ما سويت جذي,Against
انا بحب بلدي و اكيد بحترم قرارات رئس الدولة لكن عندي سؤال لو مسؤول يجاوب عليه احنا اقل دولة في اصابات كورونا لماذا الأصرار علي تطعيم اطفالنا ولصالح مين الكلام دا رغم تحذيرات الأطباء وخصوصآ  استرازينكا وجه خائفيا دولة رئيس الوزراء اطلع ايطاليا ولا الصين طعم ولادها لأننا مش هنطعم ولادنا,Against
 غير مؤيد خلق الإنسان كامل مومحتاج لقاح لقد خلقنا الإنسان في أحسن تقويم مومحتاج تطعيم وغيره عجيب أمرك ايدا ماخذين كل الاحترازت ليه التعطيم قالو فين اذنك ياجحا شركات الأودية قالت غير مسؤوله عن النتايج والإضرار َولافي تعويض ولاشي,Against
#وزارة_الصحة #تطعيم_كورونا بحمد الله وفضله اخذنا اليوم الجرعه الأولي من التطعيم لوباء كرونا فلقد كانت تجربه نشعر فيها بالفخر والاعتزاز لبلدنا المعطاء اولا ثم بالإجراءات التى تفوق الوصف من حيث التنظيم والأستقبال الممتاز بأيدى شباب وشابات الوطن الذين ادوا مهامهم بنجاح واقتدار وَردَة ,Favor
#امنيه_تتمناها يكنسلون تطعيم كورونا وجه عابس قليلاوجه عابس قليلاوجه عابس قليلا ...,Against
"أبلغت الدنمارك عن أكثر من 5 آلاف إصابة جديدة بفايروس كورونا رغم تطعيم 87% من السكان ""بشكل كامل""",Against
#لا_للتطعيم_الاجباري  انا من زمان وكنت اقول تطعيم الأطفال جريمة  ولازلت أتحدا #وزير_الصحة يثبت أصابت طفل بفيروس كورونا ياناس الأطفال عندهم مناعه قوية  وسالفة تطعيم الاطفال مجرد مكاسب تجارية لشركات تصنيع الدواء في العالم,Against
السبت لمن رجعت من مستشفى عشان تطعيم كورونا كنت أتأمل هذا اليوم ٦ مارس في ٢٠٢٠ والحين مازالنا مستمرين بنفس الوباء ولكن هناك تطعيم وهناك حلول وهناك فرج بعد ضيق وهناك طب يتطور لذلك اللهم لك الحمد وجه مبتسم بقلوب,Favor
سألت نفسى  : لماذا ترفض تطعيم #كورونا ؟ نفسى أجابت :  اتعجب من أنظمة حاكمة فاسدة متلاحقة بتستورد القمح والمبيدات المسرطنة والاغذية الفاسدة ولا يهمها صحة ولاحياة المواطن البسيط وتجبرك على أخذ اللقاح ,Against
عايزين مركز تطعيم كورونا.  #ريتويت,nan
". الحمد لله رب العالمين  أخذنا أول جرعة تطعيم ضد  فيروس كورونا اللعين  والجرعة  الثانية ان شاء الله  بعد 15  يوم   ""فايزر""",Favor
#لا_للتطعيم_الاجباري51 #أطفالنا_خط_أحمر #اطفالنا_ليست_فئران_تجارب الوعي راح يوقف هالمهزلة اطفال مااثرت فيهم كورونا فجاءة طلع متحور خاص لهم وتزامن ظهور هالمتحور مع قرار تطعيم الاطفال؟ ,Against
لوقاية أطول ولحماية أشمل خذ الجرعة الثانية .  #تطعيم_كورونا #مناعة_مجتمعية #كورونا_الكويت ,Favor
تطعيم كورونا كانهم حاطين لي هواء مو تطعيم ماامداني اجلس الا قالت لي خلصنا  سحب الدم احس فيه أكثر،الله ينفع به بدلة القلب️,Favor
إقبال كبير من المواطنين على مركز تطعيم لقاح كورونا بالشرقية ,Favor
سوو دعايه من اليوم ليه بعد سنه تطعيييم نوووووووووووو #تطعيم_كورونا,Against
ويقلك تطبيع وسلام وافلام بيفرضونه على العربان مثل تطعيم كورونا ويا كثر النخبه من الكبار اللي يلهث مثل الجرو ورى بني صهيون ورضاهم  ,Against
تطعيم لا يحمي من كورونا  وايضا لا يحمي من نقل كورونا  وايضا نسبة الشفاء عالية جدا تتجاوز ٩٥٪  لماذا تقطع ارزاق الناس بسببه ؟ #لا_للتطعيم_الاجباري150,Against
دكتوري أخذ تطعيم كورونا .. وصار له أسبوع تعبان ومريض ما عطانا ولا محاضره .. كل يوم الصبح يدز لنا انه تعبان وحرارته مرتفعه وضغط الدم عنده نازل .. أنا حيييل متضايقه عليه .. يارب انك تشافيه وتعافيه ياربأيدي مطويةلون البشرة الفاتحبدلة القلب️,Against
كل ما افتكر إني مضطرة اخد تطعيم كورونا تاني قلبي يتقبض,Against
      لقاح كورونا ما بيمنع المرض سوزي متله متل اي تطعيم تاني. بس المرض بكون أخف,Favor
#تطعيم_كورونا كان لصفوف الاماميه ثم الان اصبح الكويتين فقط !!   والكويتين ليس كلهم هم يطعمون ومقتنعين فيه !!   +  وضف على ذلك  صفوف الاماميه لم يتم الانتهاء منهم الى الان؟؟  السؤال احد يفهمني كيف نصل الى مناعة المجتمعة بهذه طريقه؟!وجه مفكر,nan
تعليم وصحة شقراء تبدأ الخطوات الفعلية لحملة تطعيم كورونا حسنا اليدلون بشرة متوسطممتازلون بشرة متوسطالتصفيقلون بشرة متوسطالتصفيقلون بشرة متوسطالتصفيقلون بشرة متوسط ,Favor
   في سنة وحده بس ٢٠١٥ ..اربعة و ستين ألف متوفي من الانفلونزا..هذا و هو بعد العلاجات المتوفره و التطعيمات. ما حجرونا و لا اجبرونا على تطعيم. كورونا بقدرة قادر صارت جائحة و كل المتوفين اجباري يكتب في شهادة الوفاة كورونا و هم مت,Against
#تطعيم_كورونا .. احد الحلول للسيطرة على الوباء .. حل آمن وفعال .. بادر بالتسجيل  ,Favor
 والله ماهم احرص ولا يستاهلون حتى نومن عيالنا عندهم  الي شايل همه الان تطعيم كورونا جرعتين من صف اول إلى سادس  تقبيل الوجه,Against
لنفترض ان السعودية ماحطت القرارات المحفزة لأخذ اللقاح !  طيب اذا ماخذيته مراح تقدر تسافر لأغلب دول العالم او دول الخليج العربي لان الدول هذي تشترط تطعيم كورونا لدخولها يعني انت ماخذه كذا ولا كذا لانه قرار عالمي وليس سعودي فطعم وفكنا من هذرتك وجه سحاب الفم   #لا_للتطعيم_الاجباري #نعم_للتطعيم,Favor
   تطعيم الانفلونزا والجدري والشلل و الحصبة اخذتوها نفس كورونا!!  الانسياق وراء الشايعات لعبتكم,Favor
#لا_للتطعيم_الاجباري75 أعادت أيسلندا جميع قيود كورونا بما في ذلك الكمامات   مع ارتفاع الإصابات بين المتلقحين .   يتم تطعيم 90٪ من الأشخاص فوق سن 16 عامًا.   لذا فإن جوازات سفر اللقاح ستكون بلا معنى على الإطلاق. ,Against
 انا الحمد لله رب العالمين اخذت تطعيم كورونا في مستشفى جده الميداني تطعيم فايز أمريكي احسن نوع الحمد لله رب العالمين,Favor
تم التطعيم ولله الحمد   #تطعيم_كورونا  #oxfordvaccine   #متى_نسافر ,Favor
  المشكله ماندري نكلمهم طب او نكلمهم دين  أو نكلمهم منطق  شنو يبون بالضبط ماندري تطعيم والله ماراح نطعم وفيلم كورونا خلاص انكشف اكتفوا بالي طعموا وسكروا هالملف ترا مصخت.,Against
 الحقيقة اللي مايبي يطعم هذا راجع له  وعن نفسي انتظر منهم البدأ لأخذ الجرعة الثالثة التنشيطية.,Favor
يا ربي تطعيم كورونا مكسر جسمي وموقف دراعي وجه نائم,Against
  من نولد كلنا وحنا نطعم معك كرت تطعيم طويل عريض الحين خايفه من تطعيم كورونا,Favor
حرجع الجيم بعد يوم الأحد القادم بإذن الله، الأحد هو موعدى لأخذ الجرعه الثانيه من تطعيم كورونا ثم نعود للحياه ونسافر مصر ونشوف الاهل والأحباب والوطن باذن الله تعالى..وجه مبتسم بعيون مبتسمةقلب أحمر,Favor
 خل كورونا #تمر عليها الفيروسات #تتشهد قال تطعيم قال . وجه مبتسم مع عرق,Against
في مثل هذه الليلة من العام الماضي تم تعليق الصلوات في المساجد بسبب جائحة #كورونا  بادروا جميعاً بأخذ تطعيم كورونا والله نسأل أن يزيل هذه الجائحة ويحفظنا ويحفظكم جميعاً. ,Favor
 كورونا حتى انتهت وانتي مازال تفكري في تطعيم ولقاح !,Against
 وانا بعد الف حمد وشكر لله صابتني كورونا من اسبوعين خلصت وكانت خفيفة كانها برد خفيف ومو متطعمه ولا تطعيم وجه مبتسم بهالة,Against
 من وجهة نظري  ومن تجربتي بيتنا كله حاشته كورونا  كبيرنا وصغيرنا  والحمد لله تعافينا   بدون مستشفيات   بالبيت   ليش اخذ تطعيم  لمرض   تعافيت منه   قبل   بدون تطعيمات,Against
تناقشتُ مع أحد عشّاق منتجات شركة فايزر بأنواعها  فقال لي: إذا كنت ترفض اللقاح فلماذا لا ترفض تطعيم الأطفال المعروف؟ فقلتُ له: لقاح الأطفال مرّة واحدة فقط  أما لقاح كورونا فهو كل ٦ أشهر! فبهت الذي كفر. #لا_للتطعيم_الاجباري164,Against
  كلامك يناقض نفسه اذا كان فايروس الانفلونزا يتغير او بمعنى ادق يتحور اذا ما فائدة تطعيم الكورونا  وهو فايروس من نفس عائلة الأنفلونزا وممكن يتغير اذا العام القادم لو تحور الفايروس الى فايروس اخر بنجلس ندور لقاح ونشتري من فايزر  هههههههه,Against
  كورونا سببت تجلطات دم في ١٠٠ الف مريض من خمسه مليون أصابهم كورونا بينما الذين تلقوا التطعيم فقط ٣٠ أصابهم تجلطات دم من ال خمسه مليون تلقوا تطعيم استرا أكسفورد ، لذلك يعتبر اخذ التطعيم اولويه و ينقذ حياة المرضى,Favor
 ولقاح صارله تقريبن ٥ شهور وهو موجود الناس لهم عقل مايبعون عمرهم بسهوله وفحصو رؤساهم بعد لقاح وقالو مافي خطوره وامن وفي دكتور حق العنايه المركزه اخذ الجرعه الثانيه فايزر وفحص نفسه وقال سليم ولافي اعراض وحنا لما كنا صغار ناخذ تطعيم وابر ولاندري م,nan
  من اول يوم لطفلك في هذي الحياة حتى صار عمره سنتين او ثلاث هو ياخذ تطعيمات لأنواع عده من الأمراض. والحين بترفض تطعيم كورونا!!!!,Favor
سنتين ما تنومت أختي بمستشفى و منتظمة على علاجاتها و محافظة على احتياطات السلامة عشان ما يصير فيها كورونا و تتعب و  تتنوم بالمستشفى   لكن بعد أول جرعة تطعيم في فبراير نامت شهرين بالعناية المركزة #ارحل_يا_باسل,Against
تطعيم كوروناأيدي مطويةلون البشرة الفاتحقلب أبيضقلب أبيضقلب أبيضقلب أبيض الله ينفع به ويحفظنا وإياكم من كل مكروه يارب العالمين ,Favor
"سالفة كورونا تحوش المطعمين الدكاترة قايلينها مليون مرة مو أنتوا صايدينها عشان كل يومين تتطنزون بهالموضوع  خذيناها و احنا عارفين هالمعلومة محد غشنا  و الجرعة الثالثة ما تعني ""فشل"" اللقاح.  لازم تطعيم مع + التزام عشان نخلص  التطعيم وحدة لا يكفي وهذا ماله شغل إنكم تشككون بفعاليته",Favor
   وانت من طفل إلى سنة سادس تأخذ تطعيمات وش اللي فرق عن تطعيم كورونا؟,Favor
   يا عزيزي تطعيم كورونا هي نفس تطعيمات اللي ياخذه ولدك وهي نفسها تطعيمات الانفلونزا الموسمية هل يوم اخذت التطعيمات يوم كنت صغير طلع ولدك مشتوه ولا نبتتلك رجل ثالثه ؟؟,Favor
  جيت برد عليك بس ماشاء الله البنات ماقصروا اتمنى انك معاد تحارشين السعوديات وجه مرتاحيد النصرلون البشرة الفاتح وروحي اوقفي في ساحة الاراده واعتصمي ضد تطعيم ڤايروس كورونا وجه بدموع الفرحقلب مجروحوجه مرهق,nan
الحمد لله قبل امس خذيت ٣ تطعيم حق كورونا مع ابرة الشتا!! تعبت ليلة وحده والحين حيل احسن ولله الحمدأيدي مطويةلون بشرة متوسط ​​إلى فاتحقلبين,Favor
الحين اذا تطعيم عادي ممنوع التصوير بس لقاح الكرونا مسموح يتدحرج على الارض من الضحك,nan
العودة إلى مرحلة السيطرة على انتشار الوباء لم تتم إلا بحملات تطعيم لمعظم شرائح المجتمع — اللقاحات (استرازينيكا، وفايز بيونتك) فعالة بشكل كبير   #عمان_تواجه_كورونا  #اللجنة_العليا ,Favor
#لا_لربط_السفر_بالتطعيم حطيتوا حجر صحي ورضينا دفعتونا فلوس التحاليل ودفعنا سكنتونا فنادق لتنفيع التجار وسكنا الحين تغصبونا نطعم لقاح غصبن علينا مانقول إلا حسبنا الله والله لايوفق اللي يجبرنا على تطعيم من وباء نسبة الشفاء منه عالية وممكن الواحد يموت منه مو من كورونا. #الكويت,Against
كورونا فيروس قاتل وحش فضائي راحة اليد معاورغم بعض التخبطات بالبداية إلا أننا أنتصرنا عليه والحمدلله رجللون البشرة الفاتح‍مجهر ووزارة الصحة حددت إما تطعيم حتى لو كان واحد وإلا مسحات أسبوعية يهز كتفيهلون البشرة الفاتح‍علامة الذكور️ صحيح في معاناة وزحمة ولكن صحة ابناءنا والمجتمع ككل أهم علامة تعجب مزدوجة️  فـلا تـستمعوا للـشائعات والاقاويل,Favor
 تطعيم كورونا اختياري زر علامة الاختيار  #لا_للتطعيم_الاجباري #نرفض_التطعيم_الاجباري #نرفض_اللقاح_الإجباري #كفي_عبثا_بعزل_الكويت_عن_العالم ,Against
 مساء الخير ارجو افادتي بكيفية معادلة تطعيم كورونا الحاصلين عليه من خارج المملكة ؟,nan
#لقاح_كورونا ضروري رغما عن الحالات النادرة للاعراض الجانبية وينبغي التسريع في تطعيم الفئات ذات الأولوية في البلد وهم الأطباء والعاملين في مراكز العزل  ولكن يجب أن يتزامن مع الاحترازات ودعم المستشفيات فالفائدة المرجوة من اللقاح للسيطرة على الانتشار لن تحصل قبل تطعيم ٨٠٪ من السكان,Favor
 تطعيم اللقاح لا يقضي على كورونا التطعيم لتقوية المناعة فقط,nan
بالنسبه للي بياخذون تطعيم كورونا   أقولهم   انتم السابقون ..ونحن اللاحقون   بس مو الحين,nan
بكرا رايحة آخد تطعيم كورونا ويااااه آخر تطعيم أخدته كان تطعيم صف تاسع,Favor
 ويجونك ناس يقولون تطعيم كورونا مؤامرة عشان يزرعون شريحه يراقبونا فيهاوجه مبتهج بعيون مبتسمة,Favor
"وحتى لو ان التطعيمات المذكره اثبتت فاعليتها اكثر من تطعيم كورونا الي ما يمنع المرض ولا العدوى ولا حتى الاعراض و فوق هذا احتمال يغيرون التطعيم و بخلون الي تطعم ""نوع معين"" يتطعم مره ثانيه لانه هذاك مو فعّال وجه مهرج",Against
 إذا لازم تطعيم كورونا .. خلني قاعدة في البيت أحسن,Against
    تلقيت الجرعه الاولى من تطعيم اكسفورد لفيروس كوفيد-١٩بصالة ارض المعارض .. شكراااا من اعماق القلب لكل العاملين بمركز التطعيم على جهدهم المتميز ..على ابتسامتهم ورحابة صدرهم ..على سرعتهم ودقة عملهم بدلة القلب️ اللهم ارفع عنا هذا ,Favor
#لا_للتطعيم_الاجباري27  لو تطعيم كورونا مضر كان حتى تطعيمات الأطفال مضره كلها تأتى من عندهم توكل على الله وطعم,Favor
سؤال طبي مالي بحت وجه بدموع الفرح ..  الي ما يبي يطعّم يقدر يبيع نصيبه شخص يركضلون بشرة متوسط‍علامة الذكور️وجه بدموع الفرح  #وزارة_الصحة  #تطعيم_كورونا,nan
  متأكدة من هالكلام انا خذت اللقاح وغيري كثير خذو اللقاح فايزر الحمدلله ماحد جاه كورونا ولا صارله شي من التطعيم تطعمو وفحصو قبل التطعيم  واللي عنده سكروضغط يفحص السكر والضغط ويخبر الممرض بالنتيجة قبل التطعيم ويساوي فحص كورونا والله الحامي الحمدلله  الكثير اخذو تطعيم كورونا,Favor
   ما قد سمعت احد مات وقالوا بسبب انه اخذ جرعة تطعيم  كل من مات قالوا بسبب كورونا! كلنا بنموت مهما اختلفت الأسباب لكن الغريب  ربط موت كل إنسان بكورونا! اسأل الله ان يعافينا ويحفظنا من الامراض والاسقام ويرفع عنا البلاء,nan
الحمد لله  بفضله ورحمته تلقيت #تطعيم_كورونا بعد ان اكملت المدة ستة أشهر من الإصابة.مثمناً جهود ولاة أمرنا ودولتنا المباركة في العناية بصحة أبنائها والقاطنين على أراضيها داعياً لهذا الوطن  ولقيادته وشعبه بحفظ الله وعنايته ورعايته وموجهاً إخواني المواطنين والمقيمين إلى تلقي التطعيم ,Favor
#تطعيم_كورونا  يارب لك الحمد على حكومتنا مليون مرة بين دخولي من بوابة المركز وانتهائي من التطعيم عشر دقايق...#السعودية_العظمى,Favor
"  ومحد له الحق بأنه يفرض أي دواء أو تطعيم لم يأخذ الإعتماد الكامل  وهذا رأيي من أول ما بلشت أول مرحلة لأول تطعيم كورونا وجه مبتسم مع عرق  انا رأيي معروف ولم يتغير: ""مع الإختيار  وضد الإجبار""",Against
"رفع اليدلون البشرة الفاتحالحمد لله وبفضل من الله ثم بحهود قيادتنا الرشيدة يحفظها الله  تم إيجاد  تطعيم ضد مرض فيروس كورونا ""كوفيد 19"" الذي بدأبالتطعيم  به من عدة أيام وهو يتاح لجميع المواطنين والمقيم أخذه  ولجميع مناطق المملكه العربيه السعوديه 🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦 ",Favor
 أولا كورونا مش كذبه ثانيا العالم قد قطع مشوار كبير جدا في محاربة هذا الوباء وبدأت الدول الكبرى في تخفيف الإجراءات بعد تعديها المستوى المطلوب من تطعيم المواطنين لديها,Favor
   خلصنا من كورونا طلع لنا تطعيم عنق الرحم واضح مشكلتهم الكثافة السكانية وقلة المواد .  وين تطعيم الايدز ؟ زين تطعيم وقاية من السرطان ؟ ,Against
 اخذو القاح وقبل لاتاخذونه عمل تحليل اجسام مضاده وسوو مسحه قبل اخذ لقاح وتوكلو على سبحانه #الكويت_تستحق_الأفضل #تطعيم_كورونا,Favor
اخدت تطعيم كورونا عقبال تذكره السفر,Favor
#تطعيم_كورونا  زر علامة الاختيار الحمد لله,Favor
 تطعيم الاطفال اخذ سنوات حتى تم إنتاجه و سنوات تجريبيه وبعدها تك أعتماده ولم يظهر عليه اثار سلبيه والشركه تتحمل المسؤوليه ؟ اما لقاح كورونا تم انتاجه خلال اشهر وتم اعطاءه للبشريه فوراً و دون تحمل مسؤوليه و له اثار جانبيه هذا يمسى عبث بأرواح الناس,Against
  كلامك صح وانا ابنتي ذات الشي بالجامعة واخذت الجرعتين واجبروها الجامعة بالثالثة والا تمنع من الاختبار واخذتها من ثلاثة اسابيع والى اليوم السخونة ماراحت منها حسبي الله ونعم الوكيل كنا ناخد تطعيمة الحمى ولا نجبر فلما تطعيم كورونا بالق,Against
#لا_للتطعيم_الاجباري #تطعيم_الأطفال_جريمة لقاح يقتل الكبار والصغار ولن يعترفوا بذلك إلا بعد ٥٥ سنة! ,Against
#نعم_للتطعيم  صح دكتور شكرا لكم ولجنه كورونا بتشديد الاجراءات وتطبيق الاجراءات الصحيه  وتشجيع وتحفيز للتطعيم لوصول مناعه مجتمعيه لخروج من ازمه كورونا .  لابد تعايش مع المرض وزياده وتيره تطعيم . ,Favor
 لجنه ما معها حل غير الحظر الحين اكل لبلدان تسارع بكثره تطعيم ...كثير اعرف اشخاص راحو يريدو ياخذو لقاح ويقول حقهم مخلص او باقي كم جرعه نريدهم حق كبار السن ..دول مجاوره مثل السعوديه والامارات في اليوم الواحد تطعيم فوق ٢٠الف شخص,nan
 سمعتِ … ولذلك لن تأخذيه … منطق نظرية المؤامرة … نفس ما سمعناه عن لقاح الأنفلونزا عندما ظهر …  صار لي ١٣ سنة أأخذ تطعيم الأنفلونزا ولم أصاب بها مرة واحدة خلال هذه الفترة وكانت تحبني كثيراً قبل ذلك … أصاب رشح بسيط أحيانا لمدة يوم …  المهم أن عقلي ,nan
 حتى لو يقولون لقاح اكسفورد طعم ماعليك من الكلام اللي يقولونه  انا مطعم اكسفورد خوش تطعيم,Favor
اتممت اخذ الجرعه الاولى من تطعيم كورونا صباح اول ايام الشهر الفضيل. ولله الحمد. التجربه في حد ذاتها مبهره في كل تفاصيلها. الله يعزك يا بلادي #السعوديه  و شكرًا لكل فرد في #وزارة_الصحة ,Favor
